,premise,hypothesis,actual,predict
0,People checking out a car with all its doors open in a parking lot in the city.,Someone is blowing up the car with bombs,useless,useless
1,"Two men stand in a lift as four others, all dressed in black and bright yellow stripes, look up on them.","Six men are dressed in black and yellow, two of which are lifting.",useless,useful
2,Casually dressed young males and females are sitting and laying on a grassy area with bicycles and other personal belongings reading on a sunny day.,A bunch of people are hanging out in the park in the middle of classes.,useless,useless
3,A young girl standing in front of a row of yellow chairs.,A human standing.,useful,useful
4,A woman and child are on a boat and the woman is looking out into the ocean through a scope.,A lady and a child are on a boat and the lady is looking out into the ocean through a scope.,useful,useful
5,"An older man is kneeling and talking to a group of younger children, all in soccer uniforms.",a coach teaches his kids,useless,useless
6,A man in a blue shirt and tan shorts has his feet in the steps of an exercise bicycle and is working on the control panel of the machine.,The man is old,useless,useless
7,A person sweeping stairs in a park.,A person outside.,useful,useful
8,A woman in black walks down the street in front of a graffited wall.,A lady walks down the street.,useful,useful
9,A dog carries an object in the snow.,A dog is asleep in its dog house.,useless,useless
10,2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,Two kids were hugging.,useful,useful
11,A woman is using a small scissors on a large net.,A woman is using small scissors on a basketball net.,useless,useful
12,A choir made up of varying ages of people are performing.,The choir is doing a Christmas program.,useless,useless
13,A woman with brown hair wearing a white shirt is standing in a doorway surrounded by baskets as a woman in a red shirt passes by.,A woman is wearing a white shirt.,useful,useful
14,"A woman poses with sunglasses shaped like dollar signs and a silver suitcase labelled ""LUCKY"" full of bills.",A woman is posing for a photograph.,useful,useful
15,"A man wearing dark jeans, an orange shirt, and an orange apron is next to a bunch of plants and flowers and a woman with a blue top.",The woman is wearing a red top.,useless,useful
16,A white woman waiting in line.,There is a female waiting for a friend.,useless,useless
17,The girls walk down the street.,Girls set down in the street.,useless,useful
18,A street performer is entertaining a gathered audience with the help of a young boy.,A boy is performing on stage.,useless,useful
19,"Five people standing on a stage, getting ready to perform, who are unrecognizable due to the lack of lighting.","At a rock concert, the audience screams and cries at the handsome singer and his bass guitarist.",useless,useless
20,Eight tourists stand at a railing looking at an attraction.,The tourists stood at the railing looking down at the city,useless,useful
21,A guy surfing in a lake or river while a boat is pulling him,The man is surfing outdoors.,useful,useful
22,"A man wearing and Army shirt is on the ground in a push-up position, while a man in uniform squats beside him.",There is a shirt.,useful,useful
23,"Three people wearing black blindfolds near a ""Salvar O Planeta"" sign.",there are 3 people with blindfolds,useful,useful
24,A short-haired man is jumping while on top of a huge boulder.,The man is on the rock.,useful,useful
25,A man wearing a brightly green camouflage patterned denim jacket and boots walks by a building labeled Lottery Ticket Centre.,A man is near a building labeled Lottery Ticket Centre.,useful,useful
26,A woman is observing pictures on a camera.,A women cradling a baby.,useless,useless
27,Four men wearing orange vests are putting in a steel beam on the ground.,Humans in orange,useful,useless
28,A young blond child eats chocolate cake with his fingers while holding the spoon in their other hand.,a child has chocolate all over his hand,useful,useful
29,"A girl reaches up to kiss a cat, which is sitting on the counter.",A girl is petting her dog.,useless,useless
30,A young man dressed up with a yellow tie jumps against a wall and one foot is left against the wall to push away.,The young man dressed with a yellow tie is dancing at a party.,useless,useless
31,A grim looking man with sunglasses pilots a boat.,There is a man on a boat.,useful,useful
32,A dark-haired man wearing a black and white t-shirt eats in a park surrounded by people.,A man is eating.,useful,useful
33,Someone in green pants is on a white snowboard in the air.,The person is snowboarding.,useful,useful
34,A man in dress pants and a blue dress shirt is walking in the shadows of nature.,a man walking around in nature,useful,useful
35,A man in a jacket wearing black boots walking on the truck of a fallen tree over a ravine.,A man walks outdoors.,useful,useful
36,A teen is standing in a field and is in the upswing position after hitting a golf ball.,The teenager is riding a horse in a steeplechase competition.,useless,useless
37,Children are petting small turtles in the grass.,The children are playing with turtles.,useful,useful
38,"A man on stage in the act of jumping, with a little boy in the background really enjoying it.",A boy watches boats on a lake.,useless,useless
39,An elderly man talking to a young boy by a table of produce.,a old man was talking,useful,useful
40,A man with a white beard speaks into a microphone wearing a long-sleeved gray button down shirt.,A man with a white beard is sitting quietly on a couch.,useless,useless
41,A girl with a bowing throwing a wet sponge.,The girl is not throwing anything.,useless,useful
42,A young woman in white working in a professional kitchen.,A young woman dressed in white works in a very good kitchen,useful,useful
43,"Two men in costumes with fake carrot noses, top hats, sunglasses and white fur coats that contain white electrical lights.",Tall people in costumes,useless,useful
44,the man is in the middle of a pole vault,The man is concentrating.,useless,useful
45,A man plays a piano painted with an image of a woman on it.,A man plays the clarinet for his family.,useless,useless
46,A group of people are buying fruits and vegetables from a stand located in a street market.,The people are buying clothing at a stall in the street market.,useless,useless
47,A man with a pinstriped shirt and tan slacks adjust his tie while looking at a apple laptop computer.,A man adjusts his new tie in front of a laptop,useful,useful
48,"Two guys one in a red jacket the other in a leaf print shirt cutting cakes, they look ready to dig in.",The guy's jacket is red.,useful,useful
49,Person fishing in river.,The man is shopping at the mall,useless,useless
50,A dog is running in the waves at the beach.,An animal is running outside.,useful,useful
51,A group of people are gathered on a sidewalk in front of a store nearby a littered street.,A group of people are considering whether to shop at the store.,useless,useless
52,A man running in a race passes by spectators.,A man is running by people who are watching.,useful,useful
53,Man in traditional costume holding small guitar with a silver bike behind him.,A woman sits on the floor near a blue bike.,useless,useless
54,Man recording a video of a woman.,A woman is unknowing being recorded by a man.,useless,useful
55,Bicycles are littering the road as boy pull door.,A boy tries to open the door to his apartment near where other apartment dwellers park their bicycles.,useless,useless
56,The small dog is running across the lawn.,A mammal is running through the yard.,useful,useful
57,"A dark-skinned person, crouched while painting a sign.",A person is painting.,useful,useful
58,A man and woman are taking a picture of themselves while a woman in a scarf walks by them.,A man and woman take selfies of themselves.,useful,useful
59,"Two men holding a Chinese lantern that's yellow and red, one man has a drill and the other is smiling.",A father and son hold a Chinese lantern and prepare to hang it up.,useless,useless
60,Three people hiking up a mountain with a river and other mountains in the background.,Hikers in the mountains.,useful,useful
61,A little boy punching out flashcards from the cardboard they came in.,A boy punches his new flashcards from the carboard they came i.,useful,useless
62,A white dog next to a basement window.,A Pomeranian next to a window,useless,useful
63,A man sitting outside playing a musical instrument.,The man is playing music outdoors.,useful,useful
64,Walkers on a concrete boardwalk under a blue sky.,walkers inside the mall,useless,useless
65,A girl in a black sweater and jeans pours water into an empty soda bottle.,A girl pours water into an empty coca cola bottle,useless,useful
66,A group of boys playing street soccer.,A group of boys are sitting down.,useless,useless
67,A smiling man and a baby girl posing for photo.,A girl poses for a selfie with her mother.,useless,useless
68,two women in lingerie with green feathers around waist,A woman wears lingerie.,useful,useful
69,several brides wearing white dresses are holding red roses,They are sisters.,useless,useless
70,White dog playing in the snow.,The dog enjoys the snow.,useful,useful
71,An elderly woman with a tan nun uniform on and glasses is taking a picture with her camera.,A woman is trying to take pictures of the world's largest tree,useless,useless
72,A man sitting on steps with a child as a bystander walks by.,A man and a child sitting on steps saw a bystander.,useful,useful
73,Someone in a white and black polka dot outfit handing out small cartons of orange juice behind caution tape on a street.,A monkey is passing out orange juice in the middle of the forest.,useless,useless
74,A woman is chatting as she drinks her coffee.,The woman is chatting with her friend.,useless,useful
